Binomial.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,BMR,log10BM,log10BMR,Source,Comment
Antilocapra_americana,Cetartiodactyla,Antilocapridae,Antilocapra_americana,37800,4491.882442275839,4.577491799837225,3.6524283817526033,WhiteSeymore.2003,NA
Connochaetes_taurinus,Cetartiodactyla,Bovidae,Connochaetes_taurinus,196500,19881.32814813696,5.293362554711446,4.298445393549229,WhiteSeymore.2003,NA
Ovis_canadensis,Cetartiodactyla,Bovidae,Ovis_canadensis,69125,9217.0843846656,4.839635144312755,3.9645935635804825,WhiteSeymore.2003,NA
Alces_alces,Cetartiodactyla,Cervidae,Alces_alces,325000,24787.304496606717,5.511883360978874,4.394229301842517,WhiteSeymore.2003,NA
Capreolus_capreolus,Cetartiodactyla,Cervidae,Capreolus_capreolus,21500,4004.99670856704,4.332438459915605,3.6026021635034624,WhiteSeymore.2003,NA
Odocoileus_virginianus,Cetartiodactyla,Cervidae,Odocoileus_virginianus,58588,12345.20470747392,4.7678086728873765,4.091498295773762,WhiteSeymore.2003,NA
Pecari_tajacu,Cetartiodactyla,Tayassuidae,Pecari_tajacu,20500,2865.8769177216004,4.311753861055754,3.4572575345951115,WhiteSeymore.2003,NA
Vulpes_lagopus,Carnivora,Canidae,Alopex_lagopus,3600,662.35742387712,3.5563025007672873,2.8210924083639326,WhiteSeymore.2003,NA
Canis_latrans,Carnivora,Canidae,Canis_latrans,10000,1295.3088776985599,4,3.1123733420735693,WhiteSeymore.2003,NA
Canis_mesomelas,Carnivora,Canidae,Canis_mesomelas,7720,1860.7712199168,3.887617300335736,3.269692980312156,WhiteSeymore.2003,NA
Cerdocyon_thous,Carnivora,Canidae,Cerdocyon_thous,5444,734.66718630912,3.735918116531297,2.8660906426439827,WhiteSeymore.2003,NA
Vulpes_zerda,Carnivora,Canidae,Fennecus_zerda,1215,281.04394331903995,3.084576277934331,2.448774230399415,WhiteSeymore.2003,NA
Vulpes_macrotis,Carnivora,Canidae,Vulpes_macrotis,1769,427.59172851456,3.2477278329097232,2.6310292954721275,WhiteSeymore.2003,NA
Vulpes_vulpes,Carnivora,Canidae,Vulpes_vulpes,4440,1177.20293239296,3.6473829701146196,3.0708513352492646,WhiteSeymore.2003,NA
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx_jubatus,37900,4329.90857442816,4.578639209968072,3.636478726367097,WhiteSeymore.2003,NA
Puma_concolor,Carnivora,Felidae,Felis_concolor,37200,4262.419462824961,4.570542939881897,3.6296561862102563,WhiteSeymore.2003,NA
Leopardus_pardalis,Carnivora,Felidae,Felis_pardalis,10500,1506.93544908288,4.021189299069938,3.1780946493235693,WhiteSeymore.2003,NA
Lynx_rufus,Carnivora,Felidae,Felis_rufus,9400,2034.3146497535997,3.9731278535996988,3.3084181266020747,WhiteSeymore.2003,NA
Leptailurus_serval,Carnivora,Felidae,Felis_serval,10100,1512.23816499456,4.004321373782642,3.1796201943381464,WhiteSeymore.2003,NA
Leopardus_wiedii,Carnivora,Felidae,Felis_wiedii,3600,451.69498265856004,3.5563025007672873,2.6548452665281794,WhiteSeymore.2003,NA
Herpailurus_yagouaroundi,Carnivora,Felidae,Felis_yagouaroundi,8400,837.34704896256,3.9242792860618816,2.9229054940875,WhiteSeymore.2003,NA
Panthera_leo,Carnivora,Felidae,Panthera_leo,98000,8172.93141514752,4.991226075692495,3.9123778544616914,WhiteSeymore.2003,NA
Panthera_onca,Carnivora,Felidae,Panthera_onca,50400,5393.82621234432,4.702430536445525,3.731896949488811,WhiteSeymore.2003,NA
Panthera_tigris,Carnivora,Felidae,Panthera_tigris,137900,11567.1516637056,5.139564266175849,4.063226429908841,WhiteSeymore.2003,NA
Herpestes_sanguineus,Carnivora,Herpestidae,Galerella_sanguinea,540,197.64668398079996,2.7323937598229686,2.2958895323601367,WhiteSeymore.2003,NA
Herpestes_javanicus,Carnivora,Herpestidae,Herpestes_javanicus,611,194.27222840064002,2.786041210242554,2.2884107217815104,WhiteSeymore.2003,NA
Suricata_suricatta,Carnivora,Herpestidae,Suricata_suricatta,850,149.44017569279998,2.929418925714293,2.174467369474674,WhiteSeymore.2003,NA
Hyaena_hyaena,Carnivora,Hyaenidae,Hyaena_hyaena,34300,2761.26879473664,4.535294120042771,3.4411086849402004,WhiteSeymore.2003,NA
Proteles_cristata,Carnivora,Hyaenidae,Proteles_cristatus,8100,1057.6507918387201,3.90848501887865,3.0243422988790933,WhiteSeymore.2003,NA
Eira_barbara,Carnivora,Mustelidae,Eira_barbara,2950,588.60146619648,3.469822015978163,2.7698213395852838,WhiteSeymore.2003,NA
Gulo_gulo,Carnivora,Mustelidae,Gulo_gulo,12700,2744.87858191872,4.103803720955957,3.4385231384513375,WhiteSeymore.2003,NA
Lutra_lutra,Carnivora,Mustelidae,Lutra_lutra,10000,2169.29287296,4,3.3363181894157448,WhiteSeymore.2003,NA
Martes_americana,Carnivora,Mustelidae,Martes_americana,900,286.8287243136,2.9542425094393248,2.4576226413689506,WhiteSeymore.2003,NA
Martes_martes,Carnivora,Mustelidae,Martes_martes,920,345.64066442496,2.963787827345555,2.5386248313082014,WhiteSeymore.2003,NA
Meles_meles,Carnivora,Mustelidae,Meles_meles,11050,1438.4822073139198,4.04336227802113,3.1579044944410324,WhiteSeymore.2003,NA
Mustela_erminea,Carnivora,Mustelidae,Mustela_erminea,75,79.5407386752,1.8750612633917,1.9005896198543073,WhiteSeymore.2003,NA
Mustela_frenata,Carnivora,Mustelidae,Mustela_frenata,225,116.17768497408,2.3521825181113627,2.0651227182152696,WhiteSeymore.2003,NA
Neovison_vison,Carnivora,Mustelidae,Mustela_vison,660,235.24776044544,2.8195439355418688,2.3715254976431117,WhiteSeymore.2003,NA
Spilogale_putorius,Carnivora,Mephitidae,Spilogale_putorius,624,144.619524864,2.795184589682424,2.1602269303600634,WhiteSeymore.2003,NA
Taxidea_taxus,Carnivora,Mustelidae,Taxidea_taxus,9000,1301.5757237760001,3.9542425094393248,3.1144694397993886,WhiteSeymore.2003,NA
Ailurus_fulgens,Carnivora,Ailuridae,Ailurus_fulgens,5740,423.25314276864003,3.7589118923979736,2.626600191546504,WhiteSeymore.2003,NA
Bassariscus_sumichrasti,Carnivora,Procyonidae,Bassariscus_sumichrasti,1280,305.62926254592,3.1072099696478683,2.4851949335221337,WhiteSeymore.2003,NA
Nasua_narica,Carnivora,Procyonidae,Nasua_narica,3670,581.8525550361601,3.5646660642520893,2.7648129457377504,WhiteSeymore.2003,NA
Nasua_nasua,Carnivora,Procyonidae,Nasua_nasua,4000,478.20856221696,3.6020599913279625,2.6796173477945797,WhiteSeymore.2003,NA
Potos_flavus,Carnivora,Procyonidae,Potos_flavus,2343,383.72380597248,3.369772288596963,2.58401874337807,WhiteSeymore.2003,NA
Procyon_cancrivorus,Carnivora,Procyonidae,Procyon_cancrivorus,1160,223.67819845632,3.0644579892269186,2.349623656195282,WhiteSeymore.2003,NA
Procyon_lotor,Carnivora,Procyonidae,Procyon_lotor,5075,770.8220675251199,3.7054360465852505,2.886954139386636,WhiteSeymore.2003,NA
Melursus_ursinus,Carnivora,Ursidae,Ursus_ursinus,6696,406.86292995072,3.8258154449852038,2.609448122266056,WhiteSeymore.2003,NA
Arctictis_binturong,Carnivora,Viverridae,Arctictis_binturong,14280,1101.5187143808,4.154728207440155,3.04199188004627,WhiteSeymore.2003,NA
Arctogalidia_trivirgata,Carnivora,Viverridae,Arctogalidia_trivirgata,2010,266.58199083264003,3.303196057420489,2.4258308069450996,WhiteSeymore.2003,NA
Fossa_fossana,Carnivora,Eupleridae,Fossa_fossana,2260,436.75096508928,3.3541084391474008,2.640233873317214,WhiteSeymore.2003,NA
Genetta_tigrina,Carnivora,Viverridae,Genetta_tigrina,1698,360.10261691136,3.229937685907934,2.5564262774557998,WhiteSeymore.2003,NA
Nandinia_binotata,Carnivora,Nandiniidae,Nandinia_binotata,4270,416.02216652544,3.630427875025024,2.6191164713556105,WhiteSeymore.2003,NA
Paradoxurus_hermaphroditus,Carnivora,Viverridae,Paradoxurus_hermaphroditus,3160,662.35742387712,3.499687082618404,2.8210924083639326,WhiteSeymore.2003,NA
Heterohyrax_brucei,Hyracoidea,Procaviidae,Heterohyrax_brucei,2000,347.08685967360003,3.3010299956639813,2.5404381720716698,WhiteSeymore.2003,NA
Dendrohyrax_dorsalis,Hyracoidea,Procaviidae,Dendrohyrax_dorsalis,2210,362.03087724288,3.3443922736851106,2.5587456126445693,WhiteSeymore.2003,NA
Procavia_capensis,Hyracoidea,Procaviidae,Procavia_capensis,2400,318.1629547008,3.380211241711606,2.5026496111822696,WhiteSeymore.2003,NA
Procavia_capensis,Hyracoidea,Procaviidae,Procavia_habessinica,2250,433.85857459199997,3.3521825181113627,2.637348185079726,WhiteSeymore.2003,NA
Procavia_capensis,Hyracoidea,Procaviidae,Procavia_johnstoni,2750,568.3547327155201,3.439332693830263,2.7546194807354905,WhiteSeymore.2003,NA
Amblysomus_hottentotus,Afrosoricida,Chrysochloridae,Amblysomus_hottentotus,70,40.830912519936,1.845098040014257,1.610989085971108,WhiteSeymore.2003,NA
Chrysochloris_asiatica,Afrosoricida,Chrysochloridae,Chrysochloris_asiatica,44,24.82635176832,1.6434526764861874,1.394912904681592,WhiteSeymore.2003,NA
Eremitalpa_granti,Afrosoricida,Chrysochloridae,Eremitalpa_granti_namibensis,20,4.8206508288,1.3010299956639813,0.683105675640401,WhiteSeymore.2003,NA
Atelerix_albiventris,Eulipotyphla,Erinaceidae,Atelerix_albiventris,450,71.58666480768,2.6532125137753435,1.8548321292936323,WhiteSeymore.2003,NA
Echinosorex_gymnura,Eulipotyphla,Erinaceidae,Echinosorex_gymnura,721.2,243.34645383782401,2.8580557180503643,2.386225021876479,WhiteSeymore.2003,NA
Erinaceus_concolor,Eulipotyphla,Erinaceidae,Erinaceus_concolor,822.7,167.372996775936,2.9152414973061944,2.2236853921448554,WhiteSeymore.2003,NA
Erinaceus_europaeus,Eulipotyphla,Erinaceidae,Erinaceus_europaeus,750,162.69696547200002,2.8750612633917,2.211379452807445,WhiteSeymore.2003,NA
Hemiechinus_auritus,Eulipotyphla,Erinaceidae,Hemiechinus_auritus,400,73.27389259776,2.6020599913279625,1.8649492635851737,WhiteSeymore.2003,NA
Hylomys_suillus,Eulipotyphla,Erinaceidae,Hylomys_suillus,57.8,28.972111481088,1.761927838420529,1.4619801476431407,WhiteSeymore.2003,NA
